"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-10-06";"BAL";"@";"PIT";"W 26-23";"Justin Tucker";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"NYJ";"";"OAK";"W 34-3";"Sam Ficken";48;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-06";"LAC";"";"DEN";"L 13-20";"Chase McLaughlin";48;0;"yes";"Regular Season";"no";"open";"grass"
"2019-11-10";"MIA";"@";"IND";"W 16-12";"Jason Sanders";48;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-19";"JAX";"";"TEN";"W 20-7";"Josh Lambo";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"DAL";"";"WAS";"W 47-16";"Kai Forbath";48;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"NOR";"";"SFO";"L 46-48";"Wil Lutz";48;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-03";"SEA";"";"LAR";"W 30-29";"Jason Myers";48;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-15";"CIN";"";"NWE";"L 13-34";"Randy Bullock";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"PHI";"@";"MIA";"L 31-37";"Jake Elliott";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"OAK";"@";"LAC";"W 24-17";"Daniel Carlson";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"NYG";"";"BUF";"L 14-28";"Aldrick Rosas";48;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-16";"CLE";"@";"NYJ";"W 23-3";"Austin Seibert";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-14";"GNB";"";"DET";"W 23-22";"Mason Crosby";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"TAM";"@";"TEN";"L 23-27";"Matt Gay";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"CHI";"@";"LAR";"L 7-17";"Eddy Pineiro ";48;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"DEN";"";"TEN";"W 16-0";"Brandon McManus";48;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-01";"CIN";"";"NYJ";"W 22-6";"Randy Bullock";48;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"ARI";"";"SEA";"L 10-27";"Zane Gonzalez";48;0;"no";"Regular Season";"no";"dome";"grass"
"2019-09-08";"WAS";"@";"PHI";"L 27-32";"Dustin Hopkins ";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"MIN";"@";"NYG";"W 28-10";"Dan Bailey";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"SFO";"@";"SEA";"W 26-21";"Robbie Gould";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-15";"MIA";"@";"NYG";"L 20-36";"Jason Sanders";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-07";"SFO";"";"CLE";"W 31-3";"Robbie Gould";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-09";"PHI";"";"NYG";"W 23-17";"Jake Elliott";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"BAL";"";"PIT";"W 28-10";"Justin Tucker";47;1;"no";"Regular Season";"no";"open";"grass"
